Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Queen Room,0.5 miles from downtown,N/A,$151
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2 miles from downtown,N/A,$164
2025-09-27,booking.com,2,2025-10-10,2025-10-13,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Studio Suite - Interior View,0.3 miles from downtown,Free airport taxi,$210
2025-09-27,booking.com,2,2025-10-10,2025-10-13,"The Slate Hotel Downtown, Sonder by Marriott Bonvoy","Entertainment District, Toronto (Entertainment District)",Queen Room,0.7 miles from downtown,N/A,$174
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,Free airport taxi,$286
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$138
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Premium King Room,0.7 miles from downtown,N/A,$175
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",King Room with City View - Non Smoking,0.9 miles from downtown,Free airport taxi,$287
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe King Suite,1.2 miles from downtown,Free airport taxi,$194
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Gabby's Place Downtown Core,"Cabbagetown, Toronto (Cabbagetown)",One-Bedroom Suite,0.8 miles from downtown,Free airport taxi,$215
2025-09-27,booking.com,2,2025-10-10,2025-10-13,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",King Room,0.3 miles from downtown,Late Escape Deal,$178
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$148
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room with Two Queen Beds - Non-Smoking,9 miles from downtown,N/A,$116
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$141
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Studio,0.3 miles from downtown,Free airport taxi,$210
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$197
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$141
2025-09-27,booking.com,2,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2 miles from downtown,N/A,$276
2025-09-27,booking.com,2,2025-10-10,2025-10-13,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Premium King Room - High Floor,0.5 miles from downtown,N/A,$297
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$297
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,Free airport taxi,$221
2025-09-27,booking.com,2,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Premier Executive Room with King Bed.,0.5 miles from downtown,N/A,$297
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$130
2025-09-27,booking.com,2,2025-10-10,2025-10-13,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,Free airport taxi,$251
2025-09-27,booking.com,2,2025-10-10,2025-10-13,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.7 miles from downtown,Free airport taxi,$294
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Hilton Toronto,"Financial District, Toronto (Financial District)",King Room,0.2 miles from downtown,N/A,$196
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",King Suite - Non-Smoking,10.5 miles from downtown,N/A,$117
2025-09-27,booking.com,2,2025-10-10,2025-10-13,The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)",King Room with Roll-In Shower - Mobility Accessible,1.3 miles from downtown,Free airport taxi,$232
2025-09-27,booking.com,2,2025-10-10,2025-10-13,B Hotel,Toronto,Deluxe Suite,2.7 miles from downtown,N/A,$154
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,N/A,$218
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Toronto Midtown Home Suites,Toronto,Double Room,3.6 miles from downtown,N/A,$81
2025-09-27,booking.com,2,2025-10-10,2025-10-13,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,11 miles from downtown,N/A,$123
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard King Room,9.9 miles from downtown,N/A,$126
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Margie Townhome Suites,"The Village, Toronto (The Village)",Superior Loft Suite,0.6 miles from downtown,Free airport taxi,$198
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto Airport & Conference Centre,"Etobicoke, Toronto",Double Queen Room,10.2 miles from downtown,N/A,$130
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Woodbine Hotel & Suites,"Etobicoke, Toronto",King Suite with Sofa Bed,11.3 miles from downtown,N/A,$142
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room,10.5 miles from downtown,N/A,$131
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Ace Hotel Toronto,"Fashion District, Toronto (Fashion District)",Queen Room,0.9 miles from downtown,Free airport taxi,$235
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$278
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",King Room,0.7 miles from downtown,N/A,$183
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9 miles from downtown,N/A,$121
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Deluxe Suites at York,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment with City View,0.7 miles from downtown,Free airport taxi,$214
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Union Hotel,"Financial District, Toronto (Financial District)",Queen Room,0.4 miles from downtown,Free airport taxi,$231
2025-09-27,booking.com,2,2025-10-10,2025-10-13,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3 miles from downtown,N/A,$245
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,N/A,$428
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6 miles from downtown,N/A,$206
2025-09-27,booking.com,2,2025-10-10,2025-10-13,Chic Toronto Suite,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$196
