Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$209
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$98
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Partner offer option,0.5 miles from downtown,N/A,$231
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Samesun Toronto,N/A,Queen Room with Balcony,1.1 miles from downtown,N/A,$161
2025-10-06,booking.com,2,2025-10-15,2025-10-17,N/A,"The Village, Toronto (The Village)",Premium King Room,0.7 miles from downtown,N/A,$317
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Two-Bedroom Suite,1.2 miles from downtown,Free airport taxi,$356
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$104
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$129
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,Room with Two Queen Beds - Non-Smoking,11 miles from downtown,N/A,$140
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$393
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$184
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,Free airport taxi,$250
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2 miles from downtown,N/A,$168
2025-10-06,booking.com,2,2025-10-15,2025-10-17,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$349
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$483
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Stylish One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$250
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$147
2025-10-06,booking.com,2,2025-10-15,2025-10-17,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds,0.5 miles from downtown,N/A,$493
2025-10-06,booking.com,2,2025-10-15,2025-10-17,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic Room,0.5 miles from downtown,N/A,$494
2025-10-06,booking.com,2,2025-10-15,2025-10-17,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Luxury King Room,0.7 miles from downtown,Free airport taxi,$432
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Best Western Plus Travel Hotel Toronto Airport,Toronto,King Room,10.9 miles from downtown,N/A,$125
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Hilton Toronto,"Financial District, Toronto (Financial District)",Junior King Suite,0.2 miles from downtown,N/A,$426
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,Free airport taxi,$292
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Queen Room with Roll-In Shower - Disability Access,10.5 miles from downtown,N/A,$163
2025-10-06,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard King Room with Roll-In Shower - Communications Access,0.5 miles from downtown,N/A,$425
