Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$263
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,One-Bedroom Apartment with Double Bed and Balcony,2.4 miles from downtown,N/A,$242
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$196
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Superior Apartment with Queen Bed,2.2 miles from downtown,N/A,$319
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$157
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$134
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Premium King Room,0.7 miles from downtown,N/A,$195
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe King Suite,1.2 miles from downtown,N/A,$227
2025-09-25,booking.com,2,2025-10-15,2025-10-18,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3 miles from downtown,N/A,$311
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$136
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$93
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Suite - Disability Access,11 miles from downtown,N/A,$144
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Family Suite with Sofabed,0.3 miles from downtown,N/A,$301
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$299
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$156
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,N/A,$191
2025-09-25,booking.com,2,2025-10-15,2025-10-18,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$338
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$470
2025-09-25,booking.com,2,2025-10-15,2025-10-18,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$335
2025-09-25,booking.com,2,2025-10-15,2025-10-18,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds - Renovated,0.5 miles from downtown,N/A,$444
