Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-27,booking.com,2,2025-10-15,2025-10-17,"Downtown Toronto Condo, Free indoor parking with amazing view","Downtown Toronto, Toronto",Two-Bedroom Apartment,1.2 miles from downtown,Limited-time Deal,$412
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$254
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$203
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$149
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$211
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Town Inn Suites Hotel,"The Village, Toronto (The Village)",King Suite,1.2 miles from downtown,N/A,$165
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,Room with Two Queen Beds - Non-Smoking,11 miles from downtown,N/A,$132
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room with Two Queen Beds - Non-Smoking,9 miles from downtown,N/A,$102
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Suite - Disability Access,11 miles from downtown,N/A,$155
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$335
2025-09-27,booking.com,2,2025-10-15,2025-10-17,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$165
