Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,N/A,$197
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Superior Apartment with Queen Bed,2.2 miles from downtown,N/A,$238
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Queen Room,0.5 miles from downtown,N/A,$140
2025-09-29,booking.com,2,2025-10-13,2025-10-15,"The Slate Hotel Downtown, Sonder by Marriott Bonvoy","Entertainment District, Toronto (Entertainment District)",Queen Room,0.7 miles from downtown,N/A,$179
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$112
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$180
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2 miles from downtown,N/A,$147
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",Queen Room with 2 Queen Beds - Non Smoking,0.9 miles from downtown,N/A,$307
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$96
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,Room with Two Queen Beds - Non-Smoking,11 miles from downtown,N/A,$127
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$144
2025-09-29,booking.com,2,2025-10-13,2025-10-15,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3 miles from downtown,N/A,$212
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$128
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Jr 1 Bedroom,0.3 miles from downtown,N/A,$222
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$102
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$216
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2 miles from downtown,N/A,$150
2025-09-29,booking.com,2,2025-10-13,2025-10-15,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$258
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$348
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Upscale 1 Bed & Den Downtown Toronto,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.2 miles from downtown,N/A,$165
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Urban Downtown Suites,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,N/A,$201
2025-09-29,booking.com,2,2025-10-13,2025-10-15,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.5 miles from downtown,N/A,$285
2025-09-29,booking.com,2,2025-10-13,2025-10-15,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds,0.5 miles from downtown,N/A,$303
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$121
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$110
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$240
2025-09-29,booking.com,2,2025-10-13,2025-10-15,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.7 miles from downtown,N/A,$314
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Hilton Toronto,"Financial District, Toronto (Financial District)",Queen Room with Two Queen Beds,0.2 miles from downtown,N/A,$232
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,N/A,$250
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Comfort Iceboat Suites Lakeview & Free Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$178
2025-09-29,booking.com,2,2025-10-13,2025-10-15,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Room,10.5 miles from downtown,N/A,$123
