Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$265
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,One-Bedroom Apartment with Double Bed and Balcony,2.4 miles from downtown,N/A,$243
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$193
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$157
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$189
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe King Suite,1.2 miles from downtown,N/A,$173
2025-09-24,booking.com,2,2025-10-15,2025-10-18,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3 miles from downtown,N/A,$312
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$137
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$93
2025-09-24,booking.com,2,2025-10-15,2025-10-18,New custom-built house in Toronto,"North York, Toronto",Three-Bedroom House,6.3 miles from downtown,N/A,$279
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Suite - Disability Access,11 miles from downtown,N/A,$148
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Family Suite with Sofabed,0.3 miles from downtown,N/A,$298
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$154
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$301
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$96
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,N/A,$187
2025-09-24,booking.com,2,2025-10-15,2025-10-18,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$327
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$479
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$329
2025-09-24,booking.com,2,2025-10-15,2025-10-18,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds - Renovated,0.5 miles from downtown,N/A,$403
2025-09-24,booking.com,2,2025-10-15,2025-10-18,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,N/A,$252
2025-09-24,booking.com,2,2025-10-15,2025-10-18,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Premier Luxury King Room,0.7 miles from downtown,N/A,$352
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$150
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$151
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Comfort Iceboat Suites Lakeview & Free Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$183
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,N/A,$325
2025-09-24,booking.com,2,2025-10-15,2025-10-18,B Hotel,Toronto,Suite with City View,2.7 miles from downtown,N/A,$146
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Room,10.5 miles from downtown,N/A,$155
2025-09-24,booking.com,2,2025-10-15,2025-10-18,KozyStay Toronto,"North York, Toronto",Three-Bedroom House,9 miles from downtown,N/A,$184
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard King Room,0.5 miles from downtown,N/A,$360
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Novotel Toronto North York,"North York, Toronto",Superior King Room,8.2 miles from downtown,N/A,$207
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,N/A,$323
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Spark by Hilton Toronto Airport,"Etobicoke, Toronto",King Room,10.8 miles from downtown,N/A,$117
2025-09-24,booking.com,2,2025-10-15,2025-10-18,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",King Room,11 miles from downtown,N/A,$194
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Downtown west Suites,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,N/A,$273
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3 miles from downtown,N/A,$104
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard Queen Room with Two Queen Beds,9.9 miles from downtown,N/A,$168
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Sweet Home,"Downtown Toronto, Toronto",Quadruple Room with Private Bathroom,0.6 miles from downtown,N/A,$166
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room,10.5 miles from downtown,N/A,$184
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Ace Hotel Toronto,"Fashion District, Toronto (Fashion District)",King Room,0.9 miles from downtown,N/A,$353
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9 miles from downtown,N/A,$222
2025-09-24,booking.com,2,2025-10-15,2025-10-18,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3 miles from downtown,N/A,$313
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Adas Guesthouse,"Downtown Toronto, Toronto",Standard Queen Room,1.3 miles from downtown,N/A,$97
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",King Room,0.7 miles from downtown,N/A,$243
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$258
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Superior Apartment with Queen Bed,2.2 miles from downtown,N/A,$312
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Yorkville Plaza Suites - Pool & Hot Tub,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Two-Bedroom Apartment,1.4 miles from downtown,N/A,$433
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Union Hotel,"Financial District, Toronto (Financial District)",Queen Room,0.4 miles from downtown,N/A,$353
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,N/A,$585
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Queen Room,0.6 miles from downtown,N/A,$369
2025-09-24,booking.com,2,2025-10-15,2025-10-18,Toronto Don Valley Hotel and Suites,"North York, Toronto",Double Room,5.7 miles from downtown,N/A,$102
