Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,Free airport taxi,$334
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$129
2025-10-08,booking.com,2,2025-10-15,2025-10-17,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Double Suite,0.3 miles from downtown,Free airport taxi,$323
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$147
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",King Suite with City View,0.7 miles from downtown,N/A,$329
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Double Room with Two Double Beds,1.2 miles from downtown,Free airport taxi,$292
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,Room with Two Queen Beds - Non-Smoking,11 miles from downtown,N/A,$116
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$394
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,Free airport taxi,$285
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Accessible Room Two Queen City View,11.9 miles from downtown,N/A,$129
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$132
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,Free airport taxi,$250
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2 miles from downtown,N/A,$134
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$503
2025-10-08,booking.com,2,2025-10-15,2025-10-17,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Accessible Superior Room,0.5 miles from downtown,N/A,$497
2025-10-08,booking.com,2,2025-10-15,2025-10-17,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$384
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$151
2025-10-08,booking.com,2,2025-10-15,2025-10-17,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Queen Room with Two Queen Beds - Executive Level - Non-Smoking,0.5 miles from downtown,N/A,$416
2025-10-08,booking.com,2,2025-10-15,2025-10-17,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Luxury King Room,0.7 miles from downtown,Free airport taxi,$533
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$110
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Hilton Toronto,"Financial District, Toronto (Financial District)",Deluxe Corner King Room,0.2 miles from downtown,N/A,$444
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,Free airport taxi,$315
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard Queen Room with Two Queen Beds,0.5 miles from downtown,N/A,$494
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Queen Room with Roll-In Shower - Disability Access,10.5 miles from downtown,N/A,$143
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Novotel Toronto North York,"North York, Toronto",Superior King Room,8.2 miles from downtown,N/A,$210
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Stylish One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$250
2025-10-08,booking.com,2,2025-10-15,2025-10-17,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",King Room with Airport View,11 miles from downtown,N/A,$182
2025-10-08,booking.com,2,2025-10-15,2025-10-17,Toronto Midtown Home Suites,Toronto,Queen Room,3.6 miles from downtown,N/A,$89
