Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Magnificient View next CN Tower/Rogers/Union/MTCC,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,N/A,$232
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Residence Inn by Marriott Toronto Downtown / Entertainment District,"Entertainment District, Toronto (Entertainment District)",King Studio with Sofa Bed,0.7 miles from downtown,N/A,$220
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Vacation house privet floor LUX Walk 2 Subway,"Etobicoke, Toronto",Three-Bedroom Holiday Home,8 miles from downtown,N/A,$168
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto,"Entertainment District, Toronto (Entertainment District)",King Room,0.7 miles from downtown,N/A,$272
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,N/A,$100
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Modern Downtown Condo Free Parking Pool Balcony Walk to Lake,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.6 miles from downtown,N/A,$244
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Modern 1BR Condo in Church Yonge Corridor,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Apartment,1.3 miles from downtown,N/A,$195
2025-10-01,booking.com,2,2025-10-10,2025-10-13,La TUMU,"The Village, Toronto (The Village)",Deluxe King Studio,0.9 miles from downtown,N/A,$205
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,N/A,$217
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Beautiful Modern Toronto Luxurious Scotiabank Arena,"Entertainment District, Toronto (Entertainment District)",Apartment with Lake View,0.6 miles from downtown,N/A,$455
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Airport Marriott Hotel,"Etobicoke, Toronto",King Room,10.8 miles from downtown,N/A,$136
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy Room in a Quiet Neighbourhood,"Scarborough, Toronto",Double Room with Shared Bathroom,13.7 miles from downtown,Limited-time Deal,$55
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"AC Luxury Apartment Queen St, Private Patio, CN, Aquarium,Festivals, Steps from it All","Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with Balcony and Terrace,0.5 miles from downtown,N/A,$172
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"Spacious 2 Bedroom plus Den, 2 Bath, Sleeps 5 with Balcony and Lakeview Downtown Toronto Condo","Downtown Toronto, Toronto",Three-Bedroom Apartment,1.6 miles from downtown,N/A,$495
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Bright&Modern Space Perfect for couple and Family Step to public transit in Toronto,"Scarborough, Toronto",Double Room with Shared Bathroom,9.2 miles from downtown,N/A,$86
2025-10-01,booking.com,2,2025-10-10,2025-10-13,586 Hotel,"Kensington Market, Toronto (Kensington Market)",Double Room,0.9 miles from downtown,N/A,$117
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Old Mill Toronto Hotel,"Etobicoke, Toronto",King Room,5.5 miles from downtown,N/A,$250
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Central Stay Living Bloor,"Downtown Toronto, Toronto",Triple Room with View,0.4 miles from downtown,N/A,$119
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Toronto Uptown 3 - Bus to Downtown,"North York, Toronto",Double Room,8.1 miles from downtown,Late Escape Deal,$90
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Spacious and Central 1BR in Heart of Downtown,"Downtown Toronto, Toronto",Deluxe One-Bedroom Apartment with City View,0.9 miles from downtown,N/A,$204
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Modern 1BD Apartment with Balcony DT Toronto,"Downtown Toronto, Toronto",One-Bedroom Apartment with Balcony,0.9 miles from downtown,Late Escape Deal,$180
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The St. Regis Toronto,"Financial District, Toronto (Financial District)","Deluxe, King Bed, Guest room, 1 King, City view",0.2 miles from downtown,N/A,$424
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Hotel Victoria,"Financial District, Toronto (Financial District)",Standard Queen Room,0.3 miles from downtown,N/A,$202
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Exec 1 BR Ent District MTCC Jays with Parking,"Entertainment District, Toronto (Entertainment District)",Apartment,0.6 miles from downtown,N/A,$185
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Drake Hotel,"West Queen West, Toronto (West Queen West)",Classic Queen,2.2 miles from downtown,N/A,$255
