Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$216
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2 miles from downtown,N/A,$189
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$170
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,One-Bedroom King Suite - Non-Smoking,11 miles from downtown,N/A,$152
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe King Suite,1.2 miles from downtown,Late Escape Deal,$192
2025-10-08,booking.com,2,2025-10-10,2025-10-13,The Omni King Edward Hotel,"Old Town Toronto, Toronto (Old Town Toronto)",Deluxe Room - 1 Queen Bed,0.3 miles from downtown,N/A,$250
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",King Room with City View - Non Smoking,0.9 miles from downtown,N/A,$233
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$104
2025-10-08,booking.com,2,2025-10-10,2025-10-13,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",King Room,0.3 miles from downtown,N/A,$244
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest Room, 1 King",0.1 miles from downtown,N/A,$231
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$168
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$97
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",1 Bedroom,0.3 miles from downtown,N/A,$207
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,N/A,$124
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$288
2025-10-08,booking.com,2,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Premier Executive Room with King Bed.,0.5 miles from downtown,N/A,$286
2025-10-08,booking.com,2,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2 miles from downtown,N/A,$276
2025-10-08,booking.com,2,2025-10-10,2025-10-13,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$245
2025-10-08,booking.com,2,2025-10-10,2025-10-13,"Newly updated 2BR, 2Bath & Den in Downtown Toronto beside Union Station & Scotia Bank Arena!","Entertainment District, Toronto (Entertainment District)",Three-Bedroom Premium Apartment with Balcony,0.7 miles from downtown,N/A,$347
2025-10-08,booking.com,2,2025-10-10,2025-10-13,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.5 miles from downtown,N/A,$322
2025-10-08,booking.com,2,2025-10-10,2025-10-13,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Luxury King Room,0.7 miles from downtown,N/A,$357
