Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,N/A,$176
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Sonder by Marriott Bonvoy The Nealon,"Old Town Toronto, Toronto (Old Town Toronto)",Queen Studio,0.6 miles from downtown,N/A,$211
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Queen Room,0.5 miles from downtown,N/A,$167
2025-10-03,booking.com,2,2025-10-13,2025-10-15,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Double Suite,0.3 miles from downtown,N/A,$232
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$121
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$211
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",Room Assigned on Arrival,0.9 miles from downtown,N/A,$263
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2 miles from downtown,N/A,$142
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Business Queen Room - Non Smoking,9 miles from downtown,N/A,$97
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$130
2025-10-03,booking.com,2,2025-10-13,2025-10-15,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room with Bath Tub - Mobility Access,0.3 miles from downtown,N/A,$212
2025-10-03,booking.com,2,2025-10-13,2025-10-15,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$121
