Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$191
2025-10-08,booking.com,2,2025-10-13,2025-10-15,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Superior One-Bedroom King Suite,0.3 miles from downtown,N/A,$285
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$173
2025-10-08,booking.com,2,2025-10-13,2025-10-15,The Beverley Hotel,"Downtown Toronto, Toronto (Entertainment District)",Studio,0.5 miles from downtown,N/A,$171
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$152
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$174
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3 miles from downtown,N/A,$97
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2 miles from downtown,N/A,$138
2025-10-08,booking.com,2,2025-10-13,2025-10-15,The Parkdale Hostellerie,Toronto,Queen Room with Shared Bathroom,2.6 miles from downtown,N/A,$54
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",Room Assigned on Arrival,0.9 miles from downtown,N/A,$240
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Queen Nest Hotel,"Downtown Toronto, Toronto",Standard Studio,1.3 miles from downtown,N/A,$73
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room - Non-Smoking,9 miles from downtown,N/A,$97
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Union Hotel,"Financial District, Toronto (Financial District)",Queen Room,0.4 miles from downtown,N/A,$272
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Toronto Don Valley Hotel and Suites,"North York, Toronto",Double Room,5.7 miles from downtown,N/A,$105
2025-10-08,booking.com,2,2025-10-13,2025-10-15,586 Hotel,"Kensington Market, Toronto (Kensington Market)",Double Room,0.9 miles from downtown,N/A,$91
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Luxury Home - Upper Toronto Beaches,Toronto,Vacation Home,3.7 miles from downtown,Late Escape Deal,$414
2025-10-08,booking.com,2,2025-10-13,2025-10-15,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$111
