Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,N/A,$281
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,Studio Apartment with Queen Bed and Balcony,2.4 miles from downtown,N/A,$298
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$280
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$109
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$146
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,Three-Bedroom Apartment with Balcony,2.2 miles from downtown,N/A,$470
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",King Suite with City View,0.7 miles from downtown,N/A,$313
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Two-Bedroom Suite,1.2 miles from downtown,N/A,$412
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room - Non-Smoking,9 miles from downtown,N/A,$98
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$136
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$393
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$125
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$150
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,N/A,$250
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2 miles from downtown,N/A,$134
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$502
2025-10-07,booking.com,2,2025-10-15,2025-10-17,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds,0.5 miles from downtown,N/A,$544
2025-10-07,booking.com,2,2025-10-15,2025-10-17,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2 miles from downtown,N/A,$342
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$151
2025-10-07,booking.com,2,2025-10-15,2025-10-17,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic Room,0.5 miles from downtown,N/A,$378
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Luxury view in Toronto Downtown 3 Bedroom 2.5 Bathroom 1 Parking,"Downtown Toronto, Toronto",Three-Bedroom Apartment,0.9 miles from downtown,N/A,$487
2025-10-07,booking.com,2,2025-10-15,2025-10-17,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Premier Executive King Suite,0.7 miles from downtown,N/A,$584
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Best Western Plus Travel Hotel Toronto Airport,Toronto,N/A,10.9 miles from downtown,N/A,$101
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Hilton Toronto,"Financial District, Toronto (Financial District)",Deluxe Corner King Room,0.2 miles from downtown,N/A,$392
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$402
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard Queen Room with Two Queen Beds,0.5 miles from downtown,N/A,$513
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Queen Room with Roll-In Shower - Disability Access,10.5 miles from downtown,N/A,$146
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,N/A,$399
2025-10-07,booking.com,2,2025-10-15,2025-10-17,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",King Room with Airport View,11 miles from downtown,N/A,$187
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Toronto Midtown Home Suites,Toronto,Queen Room,3.6 miles from downtown,N/A,$89
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3 miles from downtown,N/A,$97
2025-10-07,booking.com,2,2025-10-15,2025-10-17,The Parkdale Hostellerie,Toronto,Queen Room with Shared Bathroom,2.6 miles from downtown,N/A,$54
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Corner King Room,0.6 miles from downtown,N/A,$444
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Late Escape Deal,$187
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,10.5 miles from downtown,N/A,$150
2025-10-07,booking.com,2,2025-10-15,2025-10-17,"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)",Queen Room with Two Queen Beds,0.6 miles from downtown,N/A,$354
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",King Room,0.7 miles from downtown,N/A,$306
2025-10-07,booking.com,2,2025-10-15,2025-10-17,Adas Guesthouse,"Downtown Toronto, Toronto",Standard Queen Room,1.3 miles from downtown,N/A,$90
