Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,,$250,,,,,,,,,,,,,,,,,,16,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,,$312,,,,,,,,,,,,,,,,,,17,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Premier Executive Room with King Bed.,0.5 miles from downtown,,$281,,,,,,,,,,,,,,,,,,18,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,,$114,,,,,,,,,,,,,,,,,,19,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.5 miles from downtown,,$231,,,,,,,,,,,,,,,,,,20,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hilton Toronto,"Financial District, Toronto (Financial District)",King Room,0.2 miles from downtown,,$197,,,,,,,,,,,,,,,,,,21,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,Free airport taxi,$223,,,,,,,,,,,,,,,,,,22,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Luxury King Room,0.7 miles from downtown,Free airport taxi,$268,,,,,,,,,,,,,,,,,,23,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard King Room with Roll-In Shower - Communications Access,0.5 miles from downtown,,$224,,,,,,,,,,,,,,,,,,24,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Queen Room with Roll-In Shower - Disability Access,10.5 miles from downtown,,$97,,,,,,,,,,,,,,,,,,25,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)",Deluxe King Room,1.3 miles from downtown,Free airport taxi,$209,,,,,,,,,,,,,,,,,,26,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Novotel Toronto North York,"North York, Toronto",Superior King Room,8.2 miles from downtown,,$187,,,,,,,,,,,,,,,,,,27,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,Free airport taxi,$250,,,,,,,,,,,,,,,,,,28,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Toronto Midtown Home Suites,Toronto,Double Room,3.6 miles from downtown,,$89,,,,,,,,,,,,,,,,,,29,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,,$213,,,,,,,,,,,,,,,,,,30,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Margie Townhome Suites,"The Village, Toronto (The Village)",Superior One-Bedroom Suite with External Private Bathroom,0.6 miles from downtown,,$176,,,,,,,,,,,,,,,,,,31,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Parkdale Hostellerie,Toronto,Apartment with Terrace,2.6 miles from downtown,,$108,,,,,,,,,,,,,,,,,,32,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto Airport & Conference Centre,"Etobicoke, Toronto",Double Queen Room,10.2 miles from downtown,,$124,,,,,,,,,,,,,,,,,,33,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard King Room,9.9 miles from downtown,,$120,,,,,,,,,,,,,,,,,,34,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,11 miles from downtown,,$125,,,,,,,,,,,,,,,,,,35,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$363,,,,,,,,,,,,,,,,,,36,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3 miles from downtown,,$129,,,,,,,,,,,,,,,,,,37,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room with Mobility Accessible Tub,10.5 miles from downtown,,$130,,,,,,,,,,,,,,,,,,38,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",Queen Room wih Two Queen Beds,0.7 miles from downtown,,$182,,,,,,,,,,,,,,,,,,39,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6 miles from downtown,,$219,,,,,,,,,,,,,,,,,,40,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9 miles from downtown,,$118,,,,,,,,,,,,,,,,,,41,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)",King Room,0.6 miles from downtown,,$198,,,,,,,,,,,,,,,,,,42,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Ace Hotel Toronto,"Fashion District, Toronto (Fashion District)",Small Room,0.9 miles from downtown,Free airport taxi,$253,,,,,,,,,,,,,,,,,,43,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
