Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,price_usd,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events,price_cad,length_of_stay,is_holiday,district,latitude,longitude,is_weekend,week_of_year,booking_lead_time,room_category
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9,111.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,10,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,149.85,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Deluxe Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7,122.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,11,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,164.7,3,True,Airport Area,43.6777,-79.6248,True,41,8,Standard Queen
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 1 Queen",0.1,231.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,12,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,311.85,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard Queen
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",1 Bedroom,0.3,180.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,13,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,243.0,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2,102.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,14,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,137.7,3,True,Airport Area,43.6777,-79.6248,True,41,8,Standard Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2.0,275.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,15,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,371.25,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard King
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11.0,250.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,16,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,337.5,3,True,Airport Area,43.6777,-79.6248,True,41,8,Suite
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4,312.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,17,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,421.2,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard Queen
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Premier Executive Room with King Bed.,0.5,281.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,18,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,379.35,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Deluxe Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9,114.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,19,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,153.9,3,True,Airport Area,43.6777,-79.6248,True,41,8,Standard Queen
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.5,231.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,20,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,311.85,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard King
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hilton Toronto,"Financial District, Toronto (Financial District)",King Room,0.2,197.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,21,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,265.95,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard King
