Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,,$213,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Margie Townhome Suites,"The Village, Toronto (The Village)",Superior One-Bedroom Suite with External Private Bathroom,0.6 miles from downtown,,$176,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Parkdale Hostellerie,Toronto,Apartment with Terrace,2.6 miles from downtown,,$108,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto Airport & Conference Centre,"Etobicoke, Toronto",Double Queen Room,10.2 miles from downtown,,$124,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard King Room,9.9 miles from downtown,,$120,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,11 miles from downtown,,$125,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$363,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Woodbine Hotel & Suites,"Etobicoke, Toronto",Queen Room,11.3 miles from downtown,,$129,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room with Mobility Accessible Tub,10.5 miles from downtown,,$130,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",Queen Room wih Two Queen Beds,0.7 miles from downtown,,$182,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6 miles from downtown,,$219,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9 miles from downtown,,$118,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)",King Room,0.6 miles from downtown,,$198,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Ace Hotel Toronto,"Fashion District, Toronto (Fashion District)",Small Room,0.9 miles from downtown,Free airport taxi,$253,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Union Hotel,"Financial District, Toronto (Financial District)",Queen Room,0.4 miles from downtown,Free airport taxi,$230,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,B Hotel,Toronto,Deluxe Suite,2.7 miles from downtown,,$154,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Deluxe Suites at York,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment with City View,0.7 miles from downtown,Free airport taxi,$213,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3 miles from downtown,,$245,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,,$430,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Modern Toronto Lake View & CN Tower View - One Free Parking,"The Harbourfront, Toronto (Entertainment District)",Two-Bedroom Apartment,0.6 miles from downtown,Free airport taxi,$299,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,586 Hotel,"Kensington Market, Toronto (Kensington Market)",Double Room,0.9 miles from downtown,,$117,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Downtown Toronto Condo CN Tower,"The Harbourfront, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$208,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Upscale 1 Bed & Den Downtown Toronto,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.2 miles from downtown,,$151,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Warm Downtown Home,"Old Town Toronto, Toronto (Old Town Toronto)",Standard Double Room,0.5 miles from downtown,,$126,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"The Anndore House, part of JDV by Hyatt","The Village, Toronto (The Village)",Queen Loft,1.2 miles from downtown,,$286,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Luxury Home - Upper Toronto Beaches,Toronto,Vacation Home,3.7 miles from downtown,Free airport taxi,$381,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,EST Hotel,"Etobicoke, Toronto",Standard one Queen bed,13 miles from downtown,,$128,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Modern Private Room Private Bathroom with King Bed with TV and Optional Balcony 10 minutes to Rogers Stadium Midtown Downtown Toronto,"North York, Toronto",Triple Room with Private Bathroom,7.5 miles from downtown,,$118,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Comfort Inn & Conference Centre Toronto Airport,"Etobicoke, Toronto",Standard King Room,10.7 miles from downtown,,$97,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sheraton Toronto Airport Hotel & Conference Centre,"Etobicoke, Toronto","Traditional, Guest room, 2 Queen",10.5 miles from downtown,,$139,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Core Downtown Toronto-3 Bedrooms-2 Bathrooms-Washrooms-Free Parking-CN Tower-Ripleys Museum-Blue Jays Stadium In front-Indoor Gym-Swimming Pool-Jacuzzi Sauna-Filter Drinking Water-WiFi,"Entertainment District, Toronto (Entertainment District)",Three-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$355,,,,,,,,,
